fid;class;Landsat8_2024-07-23_1;Landsat8_2024-07-23_2;Landsat8_2024-07-23_3;Landsat8_2024-07-23_4;Landsat8_2024-07-23_5;Landsat8_2024-07-23_6;Landsat8_2024-07-23_7;NDVI;NDMI;NBR
216;0;8037;8042;8654;8061;20623;13568;9732;0.4379444986752196;0.20634084993126847;0.3587876791302915
217;0;7679;7741;8267;7865;16618;11289;8838;0.3575133766286811;0.19095567420360482;0.30562539283469514
218;0;8036;8047;8711;8076;21937;13586;9660;0.46183320561090196;0.2350871266503392;0.38854954584295975
219;0;7975;7963;8577;8010;20725;12649;9312;0.442491734818166;0.24198477857014442;0.3799647101907647
220;0;8049;8058;8713;8133;20103;13245;9682;0.4239269018274543;0.20564951421374594;0.3498740977001847
221;0;7832;7874;8621;7954;22300;12732;9302;0.4741852317048985;0.2731217172870518;0.41130308208341243
222;0;7828;7830;8319;7846;18293;11567;8933;0.39967098970886417;0.22525117213663765;0.34378902519650334
223;0;8028;8053;8791;8214;21245;13267;9629;0.4423435961845276;0.23116597125637459;0.37623890652328823
224;0;7838;7898;8663;7960;21267;12656;9285;0.45529818318677934;0.25383957786752354;0.39218381775333855
225;0;8032;8008;8599;8028;21439;12901;9397;0.4551192859809278;0.24863133372160745;0.39051757685821764
226;0;7788;7815;8249;7811;16233;11378;8862;0.3502744967559474;0.17583571764876318;0.29372384937238494
227;0;7901;7905;8521;7920;19718;11988;9070;0.4268760402344598;0.24380243487037154;0.3698763373627901
228;0;7871;7913;8372;7952;17002;11590;8981;0.36266730784643747;0.18928371572467823;0.30870184351306623
229;0;7630;7722;8427;7863;19684;11392;8779;0.42912113841797656;0.26682970781310333;0.38312897445806837
230;0;7681;7726;8189;7825;14628;10573;8602;0.3029884647931234;0.16090631324153803;0.2594059405940594
231;0;7964;7975;8569;8024;20895;12659;9306;0.44507071475500537;0.24545508732192883;0.3837290155955101
232;0;7747;7758;8213;7812;16992;11209;8774;0.37010159651669083;0.2050636502251693;0.31894745012807574
233;0;7975;8011;8768;8054;23121;13388;9581;0.4833039294306335;0.26659179928236876;0.4140419546205125
234;0;7803;7832;8427;7929;17800;11564;8952;0.38365268762874577;0.2123688870726059;0.3307416267942584
235;0;8011;8024;8669;8060;22013;13214;9488;0.46397100389053303;0.249779998296761;0.397606425192851
236;0;7807;7833;8398;7900;19303;11888;9028;0.419181707899864;0.23772883203488185;0.36267692633510995
237;0;7896;7903;8312;7891;17037;11483;8947;0.3668966623876765;0.19474053295932678;0.31134544334975367
238;0;7894;7906;8502;7931;20473;12263;9122;0.44155752710885793;0.25079423264907136;0.3835445176550093
239;0;7918;7904;8360;7886;17580;11991;9078;0.38066441529882983;0.1890027391701329;0.3189286518118388
240;0;7893;7895;8542;7926;19719;12113;9100;0.426587086272382;0.23894194521236492;0.3684721884867622
241;0;7953;7971;8594;7981;20154;12738;9338;0.43266394170961436;0.22546515870120393;0.36674352366743523
242;0;7895;7885;8384;7890;18400;12128;9165;0.399771776340814;0.20545073375262055;0.3350263014692545
243;0;8042;8017;8760;8075;21172;13459;9702;0.4478066126440319;0.2227195287459213;0.37151000842132537
244;0;7948;7965;8698;7984;20891;12631;9330;0.446995670995671;0.24640534574309408;0.38254855894907513
245;0;7877;7920;8691;8040;20794;12535;9277;0.4423250329472151;0.24780221428785743;0.38299358185627347
246;0;7769;7838;8419;7837;19520;11917;9025;0.4270570603501846;0.2418487769189172;0.3676650902084428
247;0;7878;7877;8353;7867;17664;11587;8941;0.38372958364341386;0.20775358107415132;0.32787070099605337
248;0;7921;7915;8428;7971;18575;12335;9295;0.3994575453929029;0.20187641539954707;0.3329745245783997
249;0;7918;7935;8453;7934;18342;11979;9116;0.3961029075962856;0.20985455624814486;0.33600407895695245
250;0;7848;7872;8570;7964;20572;12343;9203;0.4418278665545276;0.2500075953212821;0.3818303946263644
251;0;8078;8046;8547;8045;18863;12786;9509;0.4020365690500966;0.19201238585737307;0.3296912448893275
252;0;7913;7904;8436;7876;19099;11725;8989;0.4160518999073216;0.2392291720737088;0.3599401879806323
253;0;7706;7718;8122;7730;15382;10171;8405;0.3310834198684666;0.20392908856103;0.29331147265312985
254;0;7776;7784;8339;7797;18607;11820;8989;0.4094076655052265;0.22305846780819666;0.3485287722858385
255;0;7971;8000;8680;8038;21941;13575;9685;0.463757963908069;0.2355558058339903;0.387529248087017
